symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
FB,2019-12-23 00:00:00+00:00,206.18,208.59,205.68,206.7,13353194,206.18,0.0,208.59,205.68,206.7,1.0,13353194
FB,2019-12-24 00:00:00+00:00,205.12,206.79,205.0,206.3,6046273,205.12,0.0,206.79,205.0,206.3,1.0,6046273
FB,2019-12-26 00:00:00+00:00,207.79,207.82,205.31,205.5665,9368273,207.79,0.0,207.82,205.31,205.5665,1.0,9368273
FB,2019-12-27 00:00:00+00:00,208.1,208.93,206.5875,208.6697,10287634,208.1,0.0,208.93,206.5875,208.6697,1.0,10287634
FB,2019-12-30 00:00:00+00:00,204.41,207.9,203.9001,207.86,10534441,204.41,0.0,207.9,203.9001,207.86,1.0,10534441
FB,2019-12-31 00:00:00+00:00,205.25,205.56,203.6001,203.995,8962756,205.25,0.0,205.56,203.6001,203.995,1.0,8962756
FB,2020-01-02 00:00:00+00:00,209.78,209.79,206.27,206.75,12090707,209.78,0.0,209.79,206.27,206.75,1.0,12090707
FB,2020-01-03 00:00:00+00:00,208.67,210.4,206.95,207.2135,11197416,208.67,0.0,210.4,206.95,207.2135,1.0,11197416
FB,2020-01-06 00:00:00+00:00,212.6,212.78,206.52,206.92,17073861,212.6,0.0,212.78,206.52,206.92,1.0,17073861
FB,2020-01-07 00:00:00+00:00,213.06,214.58,211.75,212.82,15111857,213.06,0.0,214.58,211.75,212.82,1.0,15111857
FB,2020-01-08 00:00:00+00:00,215.22,216.24,212.6121,213.0,13492703,215.22,0.0,216.24,212.6121,213.0,1.0,13492703
FB,2020-01-09 00:00:00+00:00,218.3,218.38,216.278,217.54,12679579,218.3,0.0,218.38,216.278,217.54,1.0,12679579
FB,2020-01-10 00:00:00+00:00,218.06,219.88,217.42,219.2,12127432,218.06,0.0,219.88,217.42,219.2,1.0,12127432
FB,2020-01-13 00:00:00+00:00,221.91,221.97,219.21,219.5965,14295658,221.91,0.0,221.97,219.21,219.5965,1.0,14295658
FB,2020-01-14 00:00:00+00:00,219.06,222.38,218.63,221.61,13315361,219.06,0.0,222.38,218.63,221.61,1.0,13315361
FB,2020-01-15 00:00:00+00:00,221.15,221.68,220.14,220.61,10036475,221.15,0.0,221.68,220.14,220.61,1.0,10036475
FB,2020-01-16 00:00:00+00:00,221.77,222.63,220.39,222.57,10015288,221.77,0.0,222.63,220.39,222.57,1.0,10015288
FB,2020-01-17 00:00:00+00:00,222.14,222.29,220.53,222.03,15905944,222.14,0.0,222.29,220.53,222.03,1.0,15905944
